iter	Passed	Remaining
480	679	733
481	681	732
482	683	732
483	685	731
484	687	730
485	690	730
486	715	753
487	718	754
488	726	758
489	728	758
490	729	756
491	731	755
492	733	754
493	735	753
494	737	752
495	739	751
496	741	750
497	742	748
498	744	747
499	746	746
500	747	744
501	749	743
502	750	741
503	753	741
504	755	740
505	758	740
506	759	738
507	762	738
508	764	737
509	767	737
510	769	736
511	770	734
512	771	732
513	775	733
514	777	732
515	779	730
516	780	728
517	783	728
518	784	727
519	787	726
520	789	726
521	791	724
522	793	723
523	794	722
524	797	721
525	798	719
526	800	718
527	802	717
528	804	716
529	806	715
530	808	713
531	809	712
532	812	712
533	814	710
534	816	709
535	817	707
536	819	706
537	821	705
538	823	704
539	824	702
540	826	701
541	828	700
542	830	699
543	832	698
544	834	696
545	836	695
546	837	693
547	839	692
548	840	690
549	843	690
550	845	688
551	847	687
552	848	686
553	850	684
554	852	683
555	853	681
556	855	680
557	857	679
558	859	677
559	860	676
560	861	674
561	863	673
562	865	671
563	867	670
564	868	668
565	869	666
566	871	665
567	873	664
568	875	663
569	876	661
570	878	659
571	879	658
572	881	657
573	884	656
574	885	654
575	887	653
576	889	652
577	891	650
578	893	649
579	895	648
580	897	647
581	899	646
582	902	645
583	903	643
584	905	642
585	907	640
586	908	639
587	910	637
588	911	636
589	913	634
590	915	633
591	917	632
592	918	630
593	920	629
594	922	627
595	923	626
596	926	625
597	927	623
598	929	622
599	931	621
600	933	619
601	934	618
602	936	616
603	938	615
604	939	613
605	941	612
606	943	610
607	945	609
608	946	607
609	947	605
610	949	604
611	950	602
612	953	601
613	955	600
614	956	598
615	958	597
616	961	596
617	963	595
618	965	594
619	966	592
620	968	591
621	970	589
622	972	588
623	974	587
624	976	586
625	978	584
626	980	583
627	982	582
628	985	581
629	987	580
630	989	578
631	991	577
632	992	575
633	994	574
634	996	572
635	997	571
636	999	569
637	1001	568
638	1002	566
639	1003	564
640	1004	562
641	1006	561
642	1007	559
643	1008	557
644	1010	555
645	1011	554
646	1012	552
647	1014	551
648	1016	549
649	1018	548
650	1020	547
651	1021	545
652	1023	543
653	1024	542
654	1026	540
655	1027	538
656	1029	537
657	1030	535
658	1031	533
659	1032	532
660	1034	530
661	1036	529
662	1037	527
663	1038	525
664	1039	523
665	1040	521
666	1041	520
667	1043	518
668	1044	516
669	1046	515
670	1048	514
671	1050	512
672	1051	511
673	1052	509
674	1053	507
675	1055	505
676	1057	504
677	1059	503
678	1060	501
679	1064	500
680	1066	499
681	1067	497
682	1069	496
683	1070	494
684	1072	492
685	1073	491
686	1075	489
687	1078	488
688	1079	487
689	1080	485
690	1081	483
691	1083	482
692	1085	480
693	1087	479
694	1088	477
695	1089	476
696	1091	474
697	1093	472
698	1094	471
699	1095	469
700	1097	467
701	1098	466
702	1100	464
703	1102	463
704	1104	461
705	1106	460
706	1108	459
707	1109	457
708	1111	456
709	1113	454
710	1115	453
711	1117	451
712	1118	450
713	1120	448
714	1122	447
715	1124	446
716	1126	444
717	1128	443
718	1130	441
719	1132	440
720	1134	438
721	1135	437
722	1138	436
723	1140	434
724	1141	433
725	1142	431
726	1144	429
727	1146	428
728	1148	426
729	1150	425
730	1153	424
731	1155	423
732	1157	421
733	1159	420
734	1160	418
735	1162	416
736	1163	415
737	1165	413
738	1167	412
739	1169	410
740	1170	409
741	1172	407
742	1174	406
743	1176	404
744	1177	403
745	1179	401
746	1180	399
747	1182	398
748	1183	396
749	1185	395
750	1186	393
751	1188	391
752	1189	390
753	1191	388
754	1193	387
755	1195	385
756	1196	383
757	1197	382
758	1199	380
759	1200	379
760	1202	377
761	1204	376
762	1205	374
763	1207	372
764	1208	371
765	1210	369
766	1212	368
767	1214	366
768	1215	365
769	1217	363
770	1218	361
771	1220	360
772	1221	358
773	1223	357
774	1225	355
775	1226	354
776	1227	352
777	1229	350
778	1231	349
779	1232	347
780	1234	346
781	1236	344
782	1237	343
783	1239	341
784	1241	340
785	1243	338
786	1245	337
787	1247	335
788	1249	334
789	1250	332
790	1252	330
791	1254	329
792	1256	327
793	1258	326
794	1259	324
795	1260	323
796	1262	321
797	1264	320
798	1266	318
799	1268	317
800	1269	315
801	1272	314
802	1272	312
803	1274	310
804	1275	309
805	1277	307
806	1279	305
807	1280	304
808	1282	302
809	1284	301
810	1286	299
811	1288	298
812	1290	296
813	1292	295
814	1293	293
815	1295	292
816	1297	290
817	1299	289
818	1301	287
819	1303	286
820	1304	284
821	1306	282
822	1308	281
823	1310	279
824	1313	278
825	1314	276
826	1316	275
827	1318	273
828	1319	272
829	1321	270
830	1322	269
831	1324	267
832	1326	265
833	1328	264
834	1330	262
835	1332	261
836	1334	259
837	1336	258
838	1337	256
839	1338	254
840	1339	253
841	1341	251
842	1342	250
843	1344	248
844	1346	246
845	1347	245
846	1349	243
